APN,Registered Date,Property Type,Property Address,Property City,Property State,Property Zip,Council District,Lender,,,,,,,
6003016019,10/31/2018,Multi-Family,1217 W 60TH PL,LOS ANGELES,CA,90044,9,JCAP Financial Group,,,,,,,
2151015040,11/1/2018,Single Family,20519 W HATTERAS ST,LOS ANGELES,CA,91367,3,Digestive Disease Research Foundation,,,,,,,
5442030015,11/5/2018,Single Family,2801 N MARSH ST,LOS ANGELES,CA,90039,13,Allstar Financial Services Inc,,,,,,,
5015020012,1/17/2018,Multi-Family,2071 W 52ND ST,LOS ANGELES,CA,90062,8,JP Morgan Chase NA,,,,,,,
7416002028,1/5/2018,Single Family,649 N FRIGATE AVE,LOS ANGELES,CA,90744,15,BSI Financial Services,,,,,,,
2162005011,11/10/2018,Single Family,5257 N NEWCASTLE AVE,ENCINO,CA,91316,5,"Real Property Trustee, Inc.",,,,,,,
6006027004,11/6/2018,Single Family,500 E 59TH PL,LOS ANGELES,CA,90003,9,Celink,,,,,,,
5460010052,11/21/2018,Single Family,2409 N YORKSHIRE DR,LOS ANGELES,CA,90065,1,"Cardenas Three, LLC",,,,,,,
2524021020,1/4/2018,Single Family,13279 W VAUGHN ST,LOS ANGELES,CA,91340,7,Wells Fargo Bank N.A.,,,,,,,
2425016027,2/2/2018,Single Family,3548 N MULTIVIEW DR,LOS ANGELES,CA,90068,4,Samuel Hart,,,,,,,
2359022001,2/16/2018,Single Family,4758 N SUNNYSLOPE AVE,LOS ANGELES,CA,91423,4,RUSHMORE LOAN MANAGEMENT SERVICES,,,,,,,
4370022014,1/26/2018,Single Family,901 N STRADA VECCHIA ROAD,LOS ANGELES,CA,90077,5,First Credit Bank,,,,,,,
4383006022,1/25/2018,Single Family,9847 W PORTOLA DR,LOS ANGELES,CA,90210,5,Lantzman Investments Inc,,,,,,,
5065019024,10/24/2018,Multi-Family,5869 W DAUPHIN AVE 1-3,,CA,,10,Maria Fernandez,,,,,,,
2125007008,6/7/2018,Single Family,6951 N ETIWANDA AVE,LOS ANGELES,CA,91335,3,US-BANK National Association,,,,,,,
2261035019,12/14/2018,Single Family,15468 W MORRISON ST,LOS ANGELES,CA,91403,5,Mr. Cooper,,,,,,,
2217011057,11/12/2018,Multi-Family,14235 W VANOWEN ST,VAN NUYS,CA,91405,6,Secured Income Fund-II LLC,,,,,,,
4403011006,12/12/2018,Single Family,213 N TIGERTAIL ROAD,LOS ANGELES,CA,90049,11,Mr. Cooper,,,,,,,
7414015018,1/1/2018,Single Family,1021 W LOWEN ST,LOS ANGELES,CA,90744,15,US Bank NA C/O Select Portfolio Servicing,,,,,,,
4321015010,1/1/2018,Single Family,2038 S MALCOLM AVE,LOS ANGELES,CA,90025,5,"U.S. Bank N.A., c/o Select Portfolio Servicing",,,,,,,
2673015094,11/29/2018,Single Family,15935 W COMMUNITY ST,LOS ANGELES,CA,91343,12,Mr. Cooper,,,,,,,
2429023022,1/31/2018,Single Family,6901 W CAHUENGA PARK TR,LOS ANGELES,CA,90068,4,Window Rock Investment Op,,,,,,,
7456002029,12/5/2018,Multi-Family,1027 S CENTRE ST,SAN PEDRO,CA,90731,15,Flagstar Bank,,,,,,,
2035024026,11/20/2018,Single Family,23222 W AETNA ST,LOS ANGELES,CA,91367,3,Celink,,,,,,,
2621005006,10/15/2018,Single Family,13640 W GARBER ST,LOS ANGELES,CA,91331,6,Nationstar Mortgage LLC,,,,,,,
2168021039,10/25/2018,Vacant Residential,5211 N DARRO ROAD,LOS ANGELES,CA,91364,3,no one,,,,,,,
2701061007,11/29/2018,Single Family,20321 W VIA SANSOVINO,LOS ANGELES,CA,91326,12,Mr. Cooper,,,,,,,
5210026015,1/10/2018,Multi-Family,1916 N HANCOCK ST,LOS ANGELES,CA,90031,1,CALIBER HOME LOANS,,,,,,,
5090012016,1/1/2018,Single Family,929 S MUIRFIELD RD,LOS ANGELES,CA,90019,4,Wilmington Trust NA C/O Select Portfolio Servicing,,,,,,,
4360031033,7/10/2018,Single Family,10601 W WILSHIRE BLVD 1-72,,CA,,5,Bayview Loan Servicing,,,,,,,
6018004019,1/1/2018,Single Family,7217 S DENKER AVE,LOS ANGELES,CA,90047,8,"U.S. Bank, N.A., C/O Select Portfolio Servicing",,,,,,,
2307024029,11/29/2018,Single Family,12383 W COVELLO ST,LOS ANGELES,CA,91605,2,BANK OF AMERICA,,,,,,,
2216007013,12/17/2018,Single Family,7014 N COLBATH AVE,LOS ANGELES,CA,91405,2,Mr. Cooper,,,,,,,
5451026007,1/3/2018,Single Family,3749 N GLENALBYN DR,LOS ANGELES,CA,90065,1,"Ocwen Loan Servicing, LLC",,,,,,,
5104027010,10/19/2018,Single Family,1334 E 57TH ST,LOS ANGELES,CA,90011,9,Carrington Mortgage Services,,,,,,,
