AreaName,Labor-Force,Employment,Unemployment-Number,Unemployment-Rate,CensusRatios-Emp,Census Ratios-Unemp
Alameda County                                              ,"832,500","796,800","35,700",4.30%,1,1
Alameda city,"41,500","39,900","1,600",4.00%,N/A,N/A
Albany city,"9,300","8,900",300,3.70%,0.011198,0.00956
Ashland CDP,"11,100","10,300",800,7.30%,0.012884,0.022633
Berkeley city,"62,400","59,800","2,500",4.00%,N/A,N/A
Castro Valley CDP,"32,100","30,800","1,300",4.10%,0.038622,0.037113
Cherryland CDP,"7,000","6,600",400,6.40%,0.008238,0.01249
Dublin city,"30,400","29,300","1,100",3.60%,N/A,N/A
Emeryville city,"6,900","6,600",300,3.80%,0.008302,0.007236
Fairview CDP,"5,600","5,400",200,3.80%,0.006809,0.005984
Fremont city,"118,100","113,400","4,600",3.90%,N/A,N/A
Hayward city,"77,500","73,900","3,600",4.70%,N/A,N/A
Livermore city,"47,600","45,900","1,700",3.60%,N/A,N/A
Newark city,"24,000","23,000","1,000",4.20%,N/A,N/A
Oakland city,"210,200","200,000","10,200",4.90%,N/A,N/A
Piedmont city,"5,100","5,000",100,2.20%,0.006295,0.003166
Pleasanton city,"40,900","39,400","1,500",3.70%,N/A,N/A
San Leandro city,"46,800","44,700","2,100",4.40%,N/A,N/A
San Lorenzo CDP,"12,600","11,900",600,5.10%,0.014971,0.018051
Sunol CDP,500,500,0,3.10%,0.000627,0.000457
Union City city,"37,300","35,700","1,600",4.30%,N/A,N/A
Alpine County                                               ,560,520,40,6.50%,1,1
Alpine Village CDP,80,80,0,0.00%,0.155,0
Bear Valley CDP,50,50,0,0.00%,0.0896,0
Kirkwood CDP,60,60,0,0.00%,0.1138,0
Markleeville CDP,70,70,0,0.00%,0.1429,0
Mesa Vista CDP,90,70,20,25.30%,0.1308,0.636
Amador County                                               ,"14,530","13,670",860,5.90%,1,1
Amador City city,100,90,10,9.30%,0.006468,0.01087
Ione city,"1,520","1,430",90,6.00%,0.104354,0.10568
Jackson city,"2,150","1,950",200,9.10%,0.142767,0.22705
Plymouth city,480,450,30,6.60%,0.033049,0.03744
Sutter Creek city,"1,050","1,020",30,2.80%,0.074617,0.03382
Orange County                                               ,"1,598,800","1,534,100","64,700",4.00%,1,1
Aliso Viejo CDP,"29,900","28,900","1,100",3.60%,N/A,N/A
Anaheim city,"169,700","162,400","7,300",4.30%,N/A,N/A
Brea city,"22,400","21,500",900,4.00%,N/A,N/A
Buena Park city,"40,300","38,600","1,800",4.40%,N/A,N/A
Costa Mesa city,"64,800","62,500","2,300",3.50%,N/A,N/A
Coto de Caza CDP,"7,300","7,100",300,3.70%,0.004598,0.004149
Cypress city,"24,800","23,800","1,000",4.10%,N/A,N/A
Dana Point city,"18,800","18,100",700,3.80%,N/A,N/A
Fountain Valley city,"28,500","27,300","1,200",4.20%,N/A,N/A
Fullerton city,"70,200","67,400","2,900",4.10%,N/A,N/A
Garden Grove city,"82,200","78,500","3,700",4.50%,N/A,N/A
Huntington Beach city,"108,000","103,700","4,300",4.00%,N/A,N/A
Irvine city,"138,100","132,800","5,300",3.80%,N/A,N/A
La Habra city,"30,500","29,200","1,300",4.30%,N/A,N/A
La Palma city,"7,600","7,300",300,3.80%,0.004778,0.004472
Laguna Beach city,"12,600","12,100",500,3.70%,N/A,N/A
Laguna Hills city,"17,200","16,500",700,3.80%,N/A,N/A
Laguna Niguel city,"34,800","33,400","1,400",4.00%,N/A,N/A
Laguna Woods city,"3,700","3,500",100,3.00%,0.00231,0.001719
Lake Forest city,"47,400","45,700","1,700",3.60%,N/A,N/A
Las Flores CDP,"3,000","3,000",100,1.90%,0.001943,0.0009
Los Alamitos city,"5,600","5,300",300,4.70%,0.003465,0.004016
Mission Viejo city,"50,000","47,900","2,100",4.10%,N/A,N/A
Newport Beach city,"45,400","43,700","1,700",3.60%,N/A,N/A
Orange city,"72,200","69,300","2,900",4.00%,N/A,N/A
Placentia city,"25,900","24,800","1,000",4.00%,N/A,N/A
Rancho Santa Margarita city,"27,900","26,800","1,000",3.70%,N/A,N/A
Rossmoor CDP,"5,400","5,300",200,3.00%,0.003435,0.002556
San Clemente city,"31,900","30,600","1,300",4.00%,N/A,N/A
