AreaName,Labor-Force,Employment,Unemployment-Number,Unemployment-Rate,CensusRatios-Emp,CensusRatios-Unemp
Alameda city,"42,100","40,900","1,200",2.80%,N/A,N/A
Albany city,"9,900","9,700",200,2.30%,0.011767,0.008876
Ashland CDP,"11,500","10,900",500,4.80%,0.013267,0.021457
Berkeley city,"63,600","61,800","1,800",2.80%,N/A,N/A
Castro Valley CDP,"32,700","31,800",900,2.80%,0.038673,0.035581
Cherryland CDP,"7,400","7,100",400,4.90%,0.008583,0.01433
Dublin city,"31,500","30,700",800,2.70%,N/A,N/A
Emeryville city,"7,600","7,400",200,2.50%,0.009022,0.007616
Fairview CDP,"5,300","5,200",100,1.60%,0.006282,0.003253
Fremont city,"120,100","116,900","3,200",2.60%,N/A,N/A
Hayward city,"78,900","76,400","2,500",3.20%,N/A,N/A
Livermore city,"48,800","47,600","1,200",2.50%,N/A,N/A
Newark city,"25,100","24,400",700,2.80%,N/A,N/A
Oakland city,"214,500","207,100","7,400",3.40%,N/A,N/A
Piedmont city,"5,300","5,200",100,1.90%,0.006303,0.003949
Pleasanton city,"41,800","40,700","1,100",2.50%,N/A,N/A
San Leandro city,"47,300","45,800","1,500",3.10%,N/A,N/A
San Lorenzo CDP,"12,700","12,300",400,3.10%,0.014994,0.01574
Sunol CDP,500,500,0,2.40%,0.000592,0.000489
Union City city,"37,600","36,500","1,100",3.00%,N/A,N/A
Alpine Village CDP,100,100,0,0.00%,0.195187,0
Bear Valley CDP,40,40,0,0.00%,0.07754,0
Kirkwood CDP,60,60,0,0.00%,0.1138,0
Markleeville CDP,60,60,0,0.00%,0.120321,0
Mesa Vista CDP,90,80,10,13.80%,0.15508,0.53125
Amador City city,70,60,10,8.70%,0.004463,0.009482
Ione city,"1,670","1,580",100,5.70%,0.111648,0.161196
Jackson city,"2,120","2,050",70,3.20%,0.145344,0.115244
Plymouth city,570,550,20,2.70%,0.039051,0.024799
Sutter Creek city,980,960,20,1.90%,0.06806,0.032093
Aliso Viejo CDP,"30,500","29,700",800,2.60%,N/A,N/A
Anaheim city,"172,100","166,800","5,300",3.10%,N/A,N/A
Brea city,"22,800","22,100",700,2.90%,N/A,N/A
Buena Park city,"40,700","39,400","1,300",3.20%,N/A,N/A
Costa Mesa city,"66,200","64,500","1,700",2.60%,N/A,N/A
Coto de Caza CDP,"7,500","7,300",200,2.40%,0.004617,0.003728
Cypress city,"25,200","24,400",800,3.10%,N/A,N/A
Dana Point city,"18,900","18,400",500,2.70%,N/A,N/A
Fountain Valley city,"28,700","27,800",900,3.00%,N/A,N/A
Fullerton city,"70,900","68,700","2,100",3.00%,N/A,N/A
Garden Grove city,"82,600","80,000","2,700",3.20%,N/A,N/A
Huntington Beach city,"109,800","106,700","3,100",2.90%,N/A,N/A
Irvine city,"145,700","141,600","4,100",2.80%,N/A,N/A
La Habra city,"31,200","30,200","1,000",3.10%,N/A,N/A
La Palma city,"8,000","7,800",200,2.40%,0.004947,0.004071
Laguna Beach city,"12,700","12,400",400,2.80%,N/A,N/A
Laguna Hills city,"17,300","16,800",500,2.70%,N/A,N/A
Laguna Niguel city,"35,700","34,700","1,000",2.80%,N/A,N/A
Laguna Woods city,"3,500","3,400",100,2.20%,0.002172,0.001614
Lake Forest city,"48,600","47,300","1,300",2.70%,N/A,N/A
Las Flores CDP,"2,900","2,900",100,2.00%,0.001824,0.001249
Los Alamitos city,"5,800","5,600",200,3.20%,0.003539,0.003842
Mission Viejo city,"50,300","48,800","1,500",3.00%,N/A,N/A
Newport Beach city,"45,600","44,400","1,200",2.70%,N/A,N/A
Orange city,"73,100","70,900","2,100",2.90%,N/A,N/A
Placentia city,"26,200","25,400",800,3.00%,N/A,N/A
Rancho Santa Margarita city,"28,100","27,300",800,2.70%,N/A,N/A
