DR Number,Date Reported,Date Occurred,Time Occurred,Area ID,Area Name,Reporting District,Crime Code,Crime Code Description,MO Codes,Victim Age,Victim Sex,Victim Descent,Premise Code,Premise Description,Weapon Used Code,Weapon Description,Status Code,Status Description,Crime Code 1,Crime Code 2,Crime Code 3,Crime Code 4,Address,Cross Street,Location 
191104106,1/1/2019,10/3/2015,2030,11,Northeast,1102,860,BATTERY WITH SEXUAL CONTACT,0522 0558 1259,13,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,860,,,,4000    BEMIS                        ST,,"(34.1343, -118.2702)"
191504002,1/1/2019,11/26/2017,1200,15,N Hollywood,1512,354,THEFT OF IDENTITY,0377 0100 0928 0929 1822,42,M,H,602,BANK,,,IC,Invest Cont,354,,,,12700    SHERMAN                      WY,,"(34.2012, -118.4094)"
190204109,1/2/2019,12/1/2016,800,2,Rampart,202,662,"BUNCO, GRAND THEFT",,49,M,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,662,,,,4400    BURNS                        AV,,"(34.0877, -118.2893)"
190904063,1/2/2019,8/1/2016,1535,9,Van Nuys,952,310,BURGLARY,0358 1602 0344,22,M,W,221,PUBLIC STORAGE,,,IC,Invest Cont,310,,,,5200 N  SEPULVEDA                    BL,,"(34.1649, -118.4662)"
191604029,1/2/2019,6/30/2016,200,16,Foothill,1622,121,"RAPE, FORCIBLE",0913 0500 1206 0448 0424 0400 0537 0527,36,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,121,,,,13600    DAVENTRY                     ST,,"(34.2704, -118.429)"
192104038,1/2/2019,12/1/2016,1200,21,Topanga,2175,354,THEFT OF IDENTITY,1822 0930,30,F,O,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,22100    BURBANK                      BL,,"(34.172, -118.6084)"
190104120,1/2/2019,6/13/2017,600,1,Central,124,440,THEFT PLAIN - PETTY ($950 & UNDER),344,47,M,W,123,PARKING UNDERGROUND/BUILDING,,,IC,Invest Cont,440,,,,100 N  MAIN                         ST,,"(34.0522, -118.2434)"
190304073,1/2/2019,7/1/2017,1,3,Southwest,311,354,THEFT OF IDENTITY,0100 1822,29,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,5500    GEER                         AV,,"(34.0302, -118.3635)"
191304067,1/2/2019,12/1/2017,1900,13,Newton,1307,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 1814 1813 0448 2004 1218,53,F,B,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626,,,,7TH,CROCKER                      ST,"(34.0401, -118.2459)"
192004460,1/2/2019,6/18/2017,1800,20,Olympic,2005,624,BATTERY - SIMPLE ASSAULT,0522 1259 1251 2002 0359,14,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,600 N  ARDMORE                      AV,,"(34.0821, -118.3017)"
190304555,1/3/2019,1/15/2013,900,3,Southwest,358,815,SEXUAL PENETRATION W/FOREIGN OBJECT,0515 0513 0522,-5,M,X,719,MEDICAL/DENTAL OFFICES,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,815,,,,1000 W  34TH                         ST,,"(34.0243, -118.2876)"
191905322,1/3/2019,1/1/2014,1200,19,Mission,1924,121,"RAPE, FORCIBLE",0500 0360 1258 1817,3,F,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",JA,Juv Arrest,121,812,,,LAUREL CANYON                BL,RINALDI                      ST,"(34.2799, -118.4546)"
190404143,1/3/2019,1/2/2016,2200,4,Hollenbeck,453,121,"RAPE, FORCIBLE",2003 0500,42,F,H,501,SINGLE FAMILY DWELLING,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,121,,,,1700    PENNSYLVANIA                 AV,,"(34.0486, -118.2192)"
190705242,1/3/2019,6/10/2016,1500,7,Wilshire,724,810,"SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ",0533 0527 1259,14,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,810,,,,100    THE GROVE                    DR,,"(34.0761, -118.3563)"
191004119,1/3/2019,1/1/2016,1200,10,West Valley,1023,354,THEFT OF IDENTITY,0930 1822,21,F,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,19200    KITTRIDGE                    ST,,"(34.1905, -118.5516)"
191304134,1/3/2019,1/1/2016,1200,13,Newton,1321,668,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",344,-3,M,H,203,OTHER BUSINESS,,,AA,Adult Arrest,668,,,,1900 S  MAIN                         ST,,"(34.0311, -118.2646)"
191704221,1/3/2019,1/1/2016,800,17,Devonshire,1735,354,THEFT OF IDENTITY,1822 0930,31,F,O,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,17000    LOS ALIMOS                   ST,,"(34.266, -118.5023)"
190204165,1/3/2019,12/3/2017,1500,2,Rampart,237,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,1500 W  3RD                          ST,,"(34.0621, -118.2619)"
191004108,1/3/2019,5/1/2017,900,10,West Valley,1061,354,THEFT OF IDENTITY,0929 1822,56,M,O,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,5200    TAMPA                        AV,,"(34.166, -118.5535)"
191704269,1/3/2019,1/1/2017,1200,17,Devonshire,1727,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 0603,78,F,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,740,,,,10300    WYSTONE                      AV,,"(34.2576, -118.5468)"
