APN,Registered Date,Property Type,Property Address,Property City,Property State,Property Zip,Council District,Lender,Lender Contact,Lender Contact Phone,Property Management,Property Management Contact,Property Management Address,Property Management Contact Phone,Property on Map,Zip Codes,Census Tracts,Precinct Boundaries,LA Specific Plans,Council Districts,Neighborhood Councils (Certified)
6003016019,10/31/2018,Multi-Family,1217 W 60TH PL,LOS ANGELES,CA,90044,9,JCAP Financial Group,Donna Cornejo,714-278-4202,NULL,NULL,,NULL,"1217 W 60TH PL
LOS ANGELES, CA 90044
(33.985025, -118.29654)",23675,768,1157,7,13,2
2151015040,11/01/2018,Single Family,20519 W HATTERAS ST,LOS ANGELES,CA,91367,3,Digestive Disease Research Foundation,Neil Gitnick,818-921-2455,NULL,NULL,,NULL,"20519 W HATTERAS ST
LOS ANGELES, CA 91367
(34.175498, -118.579552)",19347,305,1556,,4,49
5442030015,11/05/2018,Single Family,2801 N MARSH ST,LOS ANGELES,CA,90039,13,Allstar Financial Services Inc,sumana sur,818-346-7827,NULL,NULL,,NULL,"2801 N MARSH ST
LOS ANGELES, CA 90039
(34.104301, -118.248531)",23670,393,832,,8,22
5015020012,01/17/2018,Multi-Family,2071 W 52ND ST,LOS ANGELES,CA,90062,8,JP Morgan Chase NA,Amy Lott,888-310-1506,Safeguard Properties,Safeguard Properties,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,800-852-8306,"2071 W 52ND ST
LOS ANGELES, CA 90062
(33.995044, -118.316025)",24027,742,622,7,14,35
7416002028,01/05/2018,Single Family,649 N FRIGATE AVE,LOS ANGELES,CA,90744,15,BSI Financial Services,Ken Bodamer,800-327-7861,NULL,NULL,,NULL,"649 N FRIGATE AVE
LOS ANGELES, CA 90744
(33.777863, -118.278247)",3350,967,1114,,15,15
2162005011,11/10/2018,Single Family,5257 N NEWCASTLE AVE,ENCINO,CA,91316,5,"Real Property Trustee, Inc.",Mike Kemel,877-770-2132,NULL,NULL,,NULL,"5257 N NEWCASTLE AVE
ENCINO, CA 91316
(34.166353, -118.524347)",4286,323,325,,6,62
6006027004,11/06/2018,Single Family,500 E 59TH PL,LOS ANGELES,CA,90003,9,Celink,Daniel Stack,866-727-4303,Red A Ranch,Robert Buchanan,132  N Pine ST A San Gabriel CA 91775,626-287-4431,"500 E 59TH PL
LOS ANGELES, CA 90003
(33.986083, -118.266182)",22352,786,858,7,13,46
5460010052,11/21/2018,Single Family,2409 N YORKSHIRE DR,LOS ANGELES,CA,90065,1,"Cardenas Three, LLC",Coby Halavais,949-305-8901,NULL,NULL,,NULL,"2409 N YORKSHIRE DR
LOS ANGELES, CA 90065
(34.110697, -118.230535)",24030,387,1431,13,11,56
2524021020,01/04/2018,Single Family,13279 W VAUGHN ST,LOS ANGELES,CA,91340,7,Wells Fargo Bank N.A.,Jenna Douglas,877-617-5274,LPS,Jenna Douglas,1003  E Brier DR  San Bernardino CA 92408,281-404-7816,"13279 W VAUGHN ST
LOS ANGELES, CA 91340
(34.281704, -118.422398)",18910,23,375,,1,11
2425016027,02/02/2018,Single Family,3548 N MULTIVIEW DR,LOS ANGELES,CA,90068,4,Samuel Hart,Edward Friedman,323-653-3900,NULL,NULL,,NULL,"3548 N MULTIVIEW DR
LOS ANGELES, CA 90068
(34.130287, -118.360437)",24033,350,713,11,7,82
2359022001,02/16/2018,Single Family,4758 N SUNNYSLOPE AVE,LOS ANGELES,CA,91423,4,RUSHMORE LOAN MANAGEMENT SERVICES,PROPERTY PRESERVATION,949-341-5601,SAFEGUARD PROPERTIES,EDWARD ZUBIA,3540   wilshire BLVD  Los Angeles CA 90010,213-383-2097,"4758 N SUNNYSLOPE AVE
LOS ANGELES, CA 91423
(34.157384, -118.426876)",19736,202,964,,7,83
4370022014,01/26/2018,Single Family,901 N STRADA VECCHIA ROAD,LOS ANGELES,CA,90077,5,First Credit Bank,Saman Samii,310-273-2500,NULL,NULL,,NULL,"901 N STRADA VECCHIA ROAD
LOS ANGELES, CA 90077
(34.089718, -118.44384)",24037,828,770,,6,81
4383006022,01/25/2018,Single Family,9847 W PORTOLA DR,LOS ANGELES,CA,90210,5,Lantzman Investments Inc,March Lantzman,619-474-5400,LRES,Kathy Golden,765   The City Drive South   Orange CA 92868,714-872-5822,"9847 W PORTOLA DR
LOS ANGELES, CA 90210
(34.110322, -118.433459)",24346,826,724,,6,81
5065019024,10/24/2018,Multi-Family,5869 W DAUPHIN AVE 1-3,,CA,,10,Maria Fernandez,Michael Bergkvist,562-435-1426,NULL,NULL,,NULL,"5869 W DAUPHIN AVE 1-3, CA
(27.871628, -82.4986)",6752,,,,,
2125007008,06/07/2018,Single Family,6951 N ETIWANDA AVE,LOS ANGELES,CA,91335,3,US-BANK National Association,Jessica Vanella,612-973-2749,Advantage Conveyance,Aaron Noble,1906   Irvine AVE  Newport Beach CA 92660,949-294-8778,"6951 N ETIWANDA AVE
LOS ANGELES, CA 91335
(34.197043, -118.531672)",18909,264,578,,4,12
2261035019,12/14/2018,Single Family,15468 W MORRISON ST,LOS ANGELES,CA,91403,5,Mr. Cooper,Paula Acosta,800-468-1743,B2,Brian Bennis,3430   Mt Vernon AVE  Riverside CA 92507,224-518-7504,"15468 W MORRISON ST
LOS ANGELES, CA 91403
(34.160296, -118.471627)",19732,338,678,,6,62
2217011057,11/12/2018,Multi-Family,14235 W VANOWEN ST,VAN NUYS,CA,91405,6,Secured Income Fund-II LLC,James Gomes,408-370-4030,LA'S PREMIER PROPERTY MAINTENANCE LLC,EDDIE ZUBIA,350  S Figueroa ST 280 Los Angeles CA 90071,213-221-1244,"14235 W VANOWEN ST
VAN NUYS, CA 91405
(34.193929, -118.443275)",19733,236,316,,3,18
4403011006,12/12/2018,Single Family,213 N TIGERTAIL ROAD,LOS ANGELES,CA,90049,11,Mr. Cooper,Paula Acosta,800-468-1743,"AFS c/o NEW BEGINNING PROPERTIES, INC",Chavez Lourdes,999  W Marshall BLVD  San Bernardino CA 92405,800-468-1743,"213 N TIGERTAIL ROAD
LOS ANGELES, CA 90049
(34.061779, -118.47905)",23680,831,345,,10,
7414015018,01/01/2018,Single Family,1021 W LOWEN ST,LOS ANGELES,CA,90744,15,US Bank NA C/O Select Portfolio Servicing,NA NA,888-349-8964,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-383-2097,"1021 W LOWEN ST
LOS ANGELES, CA 90744
(33.795173, -118.275929)",3350,955,1199,,15,15
4321015010,01/01/2018,Single Family,2038 S MALCOLM AVE,LOS ANGELES,CA,90025,5,"U.S. Bank N.A., c/o Select Portfolio Servicing",NA NA,888-349-8964,Safeguard Properties,Edward Zubia,3540   Wilshire  1109 Los Angeles CA 90010,213-383-2097,"2038 S MALCOLM AVE
LOS ANGELES, CA 90025
(34.046825, -118.431553)",23443,860,737,9,6,75
2673015094,11/29/2018,Single Family,15935 W COMMUNITY ST,LOS ANGELES,CA,91343,12,Mr. Cooper,Paula Acosta,800-468-1743,B2,Brian Bennis,3430   Mt Vernon AVE  Riverside CA 92507,224-518-7504,"15935 W COMMUNITY ST
LOS ANGELES, CA 91343
(34.222889, -118.479941)",18914,121,426,,2,88
2429023022,01/31/2018,Single Family,6901 W CAHUENGA PARK TR,LOS ANGELES,CA,90068,4,Window Rock Investment Op,Registration Department,602-759-7470,BSI Financial,registrations dept,5716   Corsa AVE  Westlake Village CA 91362,800-327-7861,"6901 W CAHUENGA PARK TR
LOS ANGELES, CA 90068
(34.123224, -118.345339)",24033,350,627,11,7,82
7456002029,12/05/2018,Multi-Family,1027 S CENTRE ST,SAN PEDRO,CA,90731,15,Flagstar Bank,Eric Moore,877-338-3791,BRON Inc.,Eric Moore,27720   Jefferson AVE 210 Temecula CA 92590,877-338-3791,"1027 S CENTRE ST
SAN PEDRO, CA 90731
(33.7346, -118.283549)",3342,979,1271,15,15,36
2035024026,11/20/2018,Single Family,23222 W AETNA ST,LOS ANGELES,CA,91367,3,Celink,Daniel Stack,866-727-4303,Red A Ranch,Robert Buchanan,132  N Pine ST A San Gabriel CA 91775,626-287-4431,"23222 W AETNA ST
LOS ANGELES, CA 91367
(34.179862, -118.632883)",19347,307,1480,,4,49
2621005006,10/15/2018,Single Family,13640 W GARBER ST,LOS ANGELES,CA,91331,6,Nationstar Mortgage LLC,Paula Acosta,972-315-8837,Pinelands Preservation,Aaron Noble,1906   Irvine AVE  Newport Beach CA 92660,949-294-8778,"13640 W GARBER ST
LOS ANGELES, CA 91331
(34.248274, -118.430194)",18907,129,405,,3,41
2168021039,10/25/2018,Vacant Residential,5211 N DARRO ROAD,LOS ANGELES,CA,91364,3,no one,mark stephenson,818-694-8951,no one,mark stephenson,22312   napa st.   west hills CA 91304,818-694-8951,"5211 N DARRO ROAD
LOS ANGELES, CA 91364
(34.163874, -118.599916)",19346,312,1489,,4,49
