APN,Registered Date,Property Type,Property Address,Property City,Property State,Property Zip,Council District,Lender,Lender Contact,Lender Contact Phone,Property Management,Property Management Contact,Property Management Address,Property Management Contact Phone,Property on Map,Zip Codes
6003016019,10/31/2018,Multi-Family,1217 W 60TH PL,LOS ANGELES,CA,90044,9,JCAP Financial Group,Donna Cornejo,714-278-4202,NULL,NULL,,NULL,"1217 W 60TH PL
LOS ANGELES, CA 90044
(33.985025, -118.29654)",23675
2151015040,11/1/2018,Single Family,20519 W HATTERAS ST,LOS ANGELES,CA,91367,3,Digestive Disease Research Foundation,Neil Gitnick,818-921-2455,NULL,NULL,,NULL,"20519 W HATTERAS ST
LOS ANGELES, CA 91367
(34.175498, -118.579552)",19347
5442030015,11/5/2018,Single Family,2801 N MARSH ST,LOS ANGELES,CA,90039,13,Allstar Financial Services Inc,sumana sur,818-346-7827,NULL,NULL,,NULL,"2801 N MARSH ST
LOS ANGELES, CA 90039
(34.104301, -118.248531)",23670
5015020012,1/17/2018,Multi-Family,2071 W 52ND ST,LOS ANGELES,CA,90062,8,JP Morgan Chase NA,Amy Lott,888-310-1506,Safeguard Properties,Safeguard Properties,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,800-852-8306,"2071 W 52ND ST
LOS ANGELES, CA 90062
(33.995044, -118.316025)",24027
7416002028,1/5/2018,Single Family,649 N FRIGATE AVE,LOS ANGELES,CA,90744,15,BSI Financial Services,Ken Bodamer,800-327-7861,NULL,NULL,,NULL,"649 N FRIGATE AVE
LOS ANGELES, CA 90744
(33.777863, -118.278247)",3350
2162005011,11/10/2018,Single Family,5257 N NEWCASTLE AVE,ENCINO,CA,91316,5,"Real Property Trustee, Inc.",Mike Kemel,877-770-2132,NULL,NULL,,NULL,"5257 N NEWCASTLE AVE
ENCINO, CA 91316
(34.166353, -118.524347)",4286
6006027004,11/6/2018,Single Family,500 E 59TH PL,LOS ANGELES,CA,90003,9,Celink,Daniel Stack,866-727-4303,Red A Ranch,Robert Buchanan,132  N Pine ST A San Gabriel CA 91775,626-287-4431,"500 E 59TH PL
LOS ANGELES, CA 90003
(33.986083, -118.266182)",22352
5460010052,11/21/2018,Single Family,2409 N YORKSHIRE DR,LOS ANGELES,CA,90065,1,"Cardenas Three, LLC",Coby Halavais,949-305-8901,NULL,NULL,,NULL,"2409 N YORKSHIRE DR
LOS ANGELES, CA 90065
(34.110697, -118.230535)",24030
2524021020,1/4/2018,Single Family,13279 W VAUGHN ST,LOS ANGELES,CA,91340,7,Wells Fargo Bank N.A.,Jenna Douglas,877-617-5274,LPS,Jenna Douglas,1003  E Brier DR  San Bernardino CA 92408,281-404-7816,"13279 W VAUGHN ST
LOS ANGELES, CA 91340
(34.281704, -118.422398)",18910
2425016027,2/2/2018,Single Family,3548 N MULTIVIEW DR,LOS ANGELES,CA,90068,4,Samuel Hart,Edward Friedman,323-653-3900,NULL,NULL,,NULL,"3548 N MULTIVIEW DR
LOS ANGELES, CA 90068
(34.130287, -118.360437)",24033
2359022001,2/16/2018,Single Family,4758 N SUNNYSLOPE AVE,LOS ANGELES,CA,91423,4,RUSHMORE LOAN MANAGEMENT SERVICES,PROPERTY PRESERVATION,949-341-5601,SAFEGUARD PROPERTIES,EDWARD ZUBIA,3540   wilshire BLVD  Los Angeles CA 90010,213-383-2097,"4758 N SUNNYSLOPE AVE
LOS ANGELES, CA 91423
(34.157384, -118.426876)",19736
4370022014,1/26/2018,Single Family,901 N STRADA VECCHIA ROAD,LOS ANGELES,CA,90077,5,First Credit Bank,Saman Samii,310-273-2500,NULL,NULL,,NULL,"901 N STRADA VECCHIA ROAD
LOS ANGELES, CA 90077
(34.089718, -118.44384)",24037
4383006022,1/25/2018,Single Family,9847 W PORTOLA DR,LOS ANGELES,CA,90210,5,Lantzman Investments Inc,March Lantzman,619-474-5400,LRES,Kathy Golden,765   The City Drive South   Orange CA 92868,714-872-5822,"9847 W PORTOLA DR
LOS ANGELES, CA 90210
(34.110322, -118.433459)",24346
5065019024,10/24/2018,Multi-Family,5869 W DAUPHIN AVE 1-3,,CA,,10,Maria Fernandez,Michael Bergkvist,562-435-1426,NULL,NULL,,NULL,"5869 W DAUPHIN AVE 1-3, CA
(27.871628, -82.4986)",6752
2125007008,6/7/2018,Single Family,6951 N ETIWANDA AVE,LOS ANGELES,CA,91335,3,US-BANK National Association,Jessica Vanella,612-973-2749,Advantage Conveyance,Aaron Noble,1906   Irvine AVE  Newport Beach CA 92660,949-294-8778,"6951 N ETIWANDA AVE
LOS ANGELES, CA 91335
(34.197043, -118.531672)",18909
2261035019,12/14/2018,Single Family,15468 W MORRISON ST,LOS ANGELES,CA,91403,5,Mr. Cooper,Paula Acosta,800-468-1743,B2,Brian Bennis,3430   Mt Vernon AVE  Riverside CA 92507,224-518-7504,"15468 W MORRISON ST
LOS ANGELES, CA 91403
(34.160296, -118.471627)",19732
2217011057,11/12/2018,Multi-Family,14235 W VANOWEN ST,VAN NUYS,CA,91405,6,Secured Income Fund-II LLC,James Gomes,408-370-4030,LA'S PREMIER PROPERTY MAINTENANCE LLC,EDDIE ZUBIA,350  S Figueroa ST 280 Los Angeles CA 90071,213-221-1244,"14235 W VANOWEN ST
VAN NUYS, CA 91405
(34.193929, -118.443275)",19733
4403011006,12/12/2018,Single Family,213 N TIGERTAIL ROAD,LOS ANGELES,CA,90049,11,Mr. Cooper,Paula Acosta,800-468-1743,"AFS c/o NEW BEGINNING PROPERTIES, INC",Chavez Lourdes,999  W Marshall BLVD  San Bernardino CA 92405,800-468-1743,"213 N TIGERTAIL ROAD
LOS ANGELES, CA 90049
(34.061779, -118.47905)",23680
7414015018,1/1/2018,Single Family,1021 W LOWEN ST,LOS ANGELES,CA,90744,15,US Bank NA C/O Select Portfolio Servicing,NA NA,888-349-8964,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-383-2097,"1021 W LOWEN ST
LOS ANGELES, CA 90744
(33.795173, -118.275929)",3350
4321015010,1/1/2018,Single Family,2038 S MALCOLM AVE,LOS ANGELES,CA,90025,5,"U.S. Bank N.A., c/o Select Portfolio Servicing",NA NA,888-349-8964,Safeguard Properties,Edward Zubia,3540   Wilshire  1109 Los Angeles CA 90010,213-383-2097,"2038 S MALCOLM AVE
LOS ANGELES, CA 90025
(34.046825, -118.431553)",23443
2673015094,11/29/2018,Single Family,15935 W COMMUNITY ST,LOS ANGELES,CA,91343,12,Mr. Cooper,Paula Acosta,800-468-1743,B2,Brian Bennis,3430   Mt Vernon AVE  Riverside CA 92507,224-518-7504,"15935 W COMMUNITY ST
LOS ANGELES, CA 91343
(34.222889, -118.479941)",18914
2429023022,1/31/2018,Single Family,6901 W CAHUENGA PARK TR,LOS ANGELES,CA,90068,4,Window Rock Investment Op,Registration Department,602-759-7470,BSI Financial,registrations dept,5716   Corsa AVE  Westlake Village CA 91362,800-327-7861,"6901 W CAHUENGA PARK TR
LOS ANGELES, CA 90068
(34.123224, -118.345339)",24033
7456002029,12/5/2018,Multi-Family,1027 S CENTRE ST,SAN PEDRO,CA,90731,15,Flagstar Bank,Eric Moore,877-338-3791,BRON Inc.,Eric Moore,27720   Jefferson AVE 210 Temecula CA 92590,877-338-3791,"1027 S CENTRE ST
SAN PEDRO, CA 90731
(33.7346, -118.283549)",3342
2035024026,11/20/2018,Single Family,23222 W AETNA ST,LOS ANGELES,CA,91367,3,Celink,Daniel Stack,866-727-4303,Red A Ranch,Robert Buchanan,132  N Pine ST A San Gabriel CA 91775,626-287-4431,"23222 W AETNA ST
LOS ANGELES, CA 91367
(34.179862, -118.632883)",19347
2621005006,10/15/2018,Single Family,13640 W GARBER ST,LOS ANGELES,CA,91331,6,Nationstar Mortgage LLC,Paula Acosta,972-315-8837,Pinelands Preservation,Aaron Noble,1906   Irvine AVE  Newport Beach CA 92660,949-294-8778,"13640 W GARBER ST
LOS ANGELES, CA 91331
(34.248274, -118.430194)",18907
2168021039,10/25/2018,Vacant Residential,5211 N DARRO ROAD,LOS ANGELES,CA,91364,3,no one,mark stephenson,818-694-8951,no one,mark stephenson,22312   napa st.   west hills CA 91304,818-694-8951,"5211 N DARRO ROAD
LOS ANGELES, CA 91364
(34.163874, -118.599916)",19346
2701061007,11/29/2018,Single Family,20321 W VIA SANSOVINO,LOS ANGELES,CA,91326,12,Mr. Cooper,Paula Acosta,800-468-1743,Remedy Field Services,Brandon Cole,15615   Alton PKWY 450 Irvine CA 92618,800-468-1743,"20321 W VIA SANSOVINO
LOS ANGELES, CA 91326
(34.296655, -118.576238)",18905
5210026015,1/10/2018,Multi-Family,1916 N HANCOCK ST,LOS ANGELES,CA,90031,1,CALIBER HOME LOANS,CHRISTINE CAYANAN,874-214-4174,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,"1916 N HANCOCK ST
LOS ANGELES, CA 90031
(34.066688, -118.20893)",23448
5090012016,1/1/2018,Single Family,929 S MUIRFIELD RD,LOS ANGELES,CA,90019,4,Wilmington Trust NA C/O Select Portfolio Servicing,NA NA,888-349-8964,Edward Zubia,Edward Zubia,3540   Whilshire BLVD 1109 Los Angeles CA 90010,213-804-7437,"929 S MUIRFIELD RD
LOS ANGELES, CA 90019
(34.058004, -118.330674)",23080
4360031033,7/10/2018,Single Family,10601 W WILSHIRE BLVD 1-72,,CA,,5,Bayview Loan Servicing,Miles Preservation LLC,951-808-3346,Miles Preservation LLC,Miles Preservation,27226   Via Industria   Temecula CA 92590,951-808-3346,"10601 W WILSHIRE BLVD 1-72, CA
(35.551083, -97.709025)",27929
6018004019,1/1/2018,Single Family,7217 S DENKER AVE,LOS ANGELES,CA,90047,8,"U.S. Bank, N.A., C/O Select Portfolio Servicing",NA NA,888-349-8964,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,"7217 S DENKER AVE
LOS ANGELES, CA 90047
(33.973995, -118.304625)",23678
2307024029,11/29/2018,Single Family,12383 W COVELLO ST,LOS ANGELES,CA,91605,2,BANK OF AMERICA,VPR DEPARTMENT,213-345-6264,EDWARD ZUBIA,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,818-406-3611,"12383 W COVELLO ST
LOS ANGELES, CA 91605
(34.208036, -118.402962)",8888
2216007013,12/17/2018,Single Family,7014 N COLBATH AVE,LOS ANGELES,CA,91405,2,Mr. Cooper,Paula Acosta,800-468-1743,B2,Brian Bennis,3430   Mt Vernon AVE  Riverside CA 92507,224-518-7504,"7014 N COLBATH AVE
LOS ANGELES, CA 91405
(34.198098, -118.436712)",19733
5451026007,1/3/2018,Single Family,3749 N GLENALBYN DR,LOS ANGELES,CA,90065,1,"Ocwen Loan Servicing, LLC",Judy Credit,800-746-2936,Property Preservation Servicing LLC,Trevethan Aaron,5   Columbia   ALISO VIEJO CA 92656,949-625-4480,"3749 N GLENALBYN DR
LOS ANGELES, CA 90065
(34.093187, -118.216053)",24030
5104027010,10/19/2018,Single Family,1334 E 57TH ST,LOS ANGELES,CA,90011,9,Carrington Mortgage Services,Marshayla Johnson,866-563-1100,Pinelands Preservation,Aaron Noble,1906   Irvine AVE  Newport Beach CA 92660,949-294-8778,"1334 E 57TH ST
LOS ANGELES, CA 90011
(33.991109, -118.251275)",22727
2316002030,1/4/2018,Single Family,11622 W KESWICK ST,LOS ANGELES,CA,91605,6,"Ocwen Loan Servicing, LLC",Judy Credit,800-746-2936,Property Preservation Servicing LLC,Trevethan Aaron,5   Columbia   ALISO VIEJO CA 92656,949-625-4480,"11622 W KESWICK ST
LOS ANGELES, CA 91605
(34.210274, -118.385325)",8888
6055024041,1/18/2018,Single Family,9470 S HOBART BLVD,LOS ANGELES,CA,90047,8,Federal National Mortgage Association,N/A N/a,800-732-6643,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-383-2097,"9470 S HOBART BLVD
LOS ANGELES, CA 90047
(33.94901, -118.307858)",23678
4256023027,5/25/2018,Single Family,2568 S MILITARY AVE,LOS ANGELES,CA,90064,5,Shellpoint Mortgage,Eric Moore,877-338-3791,"Cyprexx Services, LLC - Jefferson",Code Compliance,27720   Jefferson AVE 210 Temecula CA 92590,877-339-8202,"2568 S MILITARY AVE
LOS ANGELES, CA 90064
(34.035105, -118.430608)",24029
7559031001,1/2/2018,Single Family,635 S BYNNER DR,SAN PEDRO,CA,90732,15,US Bank National Association,Jessica Vanella,612-973-2749,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,"635 S BYNNER DR
SAN PEDRO, CA 90732
(33.738399, -118.315752)",3343
7420012008,10/25/2018,Single Family,1240 N RAVENNA AVE,LOS ANGELES,CA,90744,15,LAKEVIEW LOAN SERVICING,Cassie Justice,757-955-8014,Bron,Jessica Hamlet,41951   Remington AVE 150 Temecula CA 92590,951-291-3285,"1240 N RAVENNA AVE
LOS ANGELES, CA 90744
(33.787835, -118.268817)",3350
5058021019,12/11/2018,Multi-Family,1871 W 25TH ST,LOS ANGELES,CA,90018,8,Mr. Cooper,Paula Acosta,800-468-1743,B2,Brian Bennis,3430   Mt Vernon AVE  Riverside CA 92507,224-518-7504,"1871 W 25TH ST
LOS ANGELES, CA 90018
(34.03365, -118.305059)",23079
5588029022,1/1/2018,Single Family,2651 N ABERDEEN AVE,LOS ANGELES,CA,90027,4,"Wilmington Trust, NA, successor trustee to Citibank, c/o Select Portfolio Servicing",NA NA,888-349-8964,Edward Zubia,Edward Zubia,3540   wilshire BLVD  Los Angeles CA 90010,213-804-7437,"2651 N ABERDEEN AVE
LOS ANGELES, CA 90027
(34.116947, -118.289847)",23445
2566004026,11/30/2018,Vacant Residential,7129 W HILLROSE ST,LOS ANGELES,CA,91042,7,"BAYVIEW LOAN SERVICING, LLC",Michael Lopata,954-590-7676,M & M Mortgage Services,Ingrid Lopez,5525   Morella AVE  Valley Village CA 91607,786-871-0806,"7129 W HILLROSE ST
LOS ANGELES, CA 91042
(34.262797, -118.286691)",3222
2726015013,10/29/2018,Single Family,19501 W ROMAR ST,LOS ANGELES,CA,91324,12,CitiMortgage,Erin Theobald,877-290-3997,Safeguard Properties,Edward Zubiz,3540   wilshire BLVD  Los Angeles CA 90010,213-383-2097,"19501 W ROMAR ST
LOS ANGELES, CA 91324
(34.254537, -118.55821)",18513
5690017008,11/24/2018,Multi-Family,1445  YOSEMITE DR,LOS ANGELES,CA,90041,14,COSIS LLC,Colin Hammett,916-895-6540,COSIS LLC,Colin Hammett,375   Via De La Mesa   Newbury Park CA 91342,916-895-6540,"1445 YOSEMITE DR
LOS ANGELES, CA 90041
(34.132704, -118.197452)",23672
2615028026,1/1/2018,Single Family,14325 W TORI CT,LOS ANGELES,CA,91345,7,"U.S. Bank, N.A., C/O Select Portfolio Servicing",NA NA,888-349-8964,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,"14325 W TORI CT
LOS ANGELES, CA 91345
(34.267105, -118.445328)",19330
2175024025,12/18/2018,Single Family,4868 N ADELE CT,LOS ANGELES,CA,91364,3,Mr. Cooper,Paula Acosta,800-468-1743,B2,Brian Bennis,3430   Mt Vernon AVE  Riverside CA 92507,224-518-7504,"4868 N ADELE CT
LOS ANGELES, CA 91364
(34.159318, -118.572731)",19346
5443006026,1/11/2018,Single Family,1916 W WHITMORE AVE,LOS ANGELES,CA,90039,13,CALIBER HOME LOANS,CHRISTINE CAYANAN,874-214-4174,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,"1916 W WHITMORE AVE
LOS ANGELES, CA 90039
(34.095644, -118.251188)",23670
6088023017,12/20/2018,Single Family,11846 S ORCHARD AVE,LOS ANGELES,CA,90044,15,Fay Servicing,Eric Moore,877-338-3791,MCS,Code Compliance,350   Highland DR 100 Lewisville TX 75067,813-387-1100,"11846 S ORCHARD AVE
LOS ANGELES, CA 90044
(33.92515, -118.288108)",23675
5525012006,1/2/2018,Multi-Family,727 N ALTA VISTA BLVD,LOS ANGELES,CA,90046,5,"Ocwen Loan Servicing, LLC",Judy Credit,800-746-2936,OGIWA INCORPORATED,Giwa Olatunji,123   Morgan AL  PASADENA CA 91105,626-380-6275,"727 N ALTA VISTA BLVD
LOS ANGELES, CA 90046
(34.084449, -118.347442)",23677
2613024025,11/27/2018,Single Family,11221 N AMBOY AVE,LOS ANGELES,CA,91340,7,Shellpoint Mortgage Servicing,Eric Moore,877-338-3791,MCS,Code Compliance,350   Highland DR 100 Lewisville TX 75067,813-387-1100,"11221 N AMBOY AVE
LOS ANGELES, CA 91340
(34.273897, -118.444731)",18910
2694007022,4/30/2018,Single Family,17169 W STARE ST,LOS ANGELES,CA,91325,12,Wells Fargo Bank N.A.,Jenna Douglas,877-617-5274,Coldwell Banker Coastal Alliance,Eddy Leon,1650   Ximeno AVE 120 Long Beach CA 90804,562-961-2205,"17169 W STARE ST
LOS ANGELES, CA 91325
(34.253069, -118.507598)",18514
5585027017,1/8/2018,Single Family,6242 W TEMPLE HILL DR,LOS ANGELES,CA,90068,4,US Bank National Association,US BANK National Association,612-973-2749,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,"6242 W TEMPLE HILL DR
LOS ANGELES, CA 90068
(34.110153, -118.324916)",24033
2616022012,1/1/2018,Single Family,11163 N TELFAIR AVE,LOS ANGELES,CA,91331,7,"HSBC Bank USA, c/o SELECT PORTFOLIO SERVICING",NA NA,888-349-8964,Edward Zubia,Edward Zubia,3540   Whilshire BLVD 1109 Los Angeles CA 90010,213-804-7437,"11163 N TELFAIR AVE
LOS ANGELES, CA 91331
(34.272738, -118.435245)",18907
2040009004,6/13/2018,Single Family,22647 W BURBANK BLVD,LOS ANGELES,CA,91367,3,US Bank NA C/O Select Portfolio Servicing,NA NA,888-349-8964,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,"22647 W BURBANK BLVD
LOS ANGELES, CA 91367
(34.171943, -118.62037)",19347
6033004037,7/17/2018,Single Family,1301 W 84TH ST,LOS ANGELES,CA,90044,8,Shellpoint Mortgage Servicing,Eric Moore,877-338-3791,"Cyprexx Services, LLC - Jefferson",Code Compliance,27720   Jefferson AVE 210 Temecula CA 92590,877-339-8202,"1301 W 84TH ST
LOS ANGELES, CA 90044
(33.962466, -118.29837)",23675
2354008036,1/1/2018,Single Family,4702 N KRAFT AVE,LOS ANGELES,CA,91602,2,"HSBC Bank USA, c/o SELECT PORTFOLIO SERVICING",NA NA,888-349-8964,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,"4702 N KRAFT AVE
LOS ANGELES, CA 91602
(34.155982, -118.380087)",8489
5561007010,11/19/2018,Single Family,9211 W NIGHTINGALE DR,HOLLYWOOD,CA,90069,4,"D&A International Investment Group, LLC",David Alexanderian,818-649-2525,"D&A International  Investment Group, LLC",DAVID ALEXANDERIAN,711   Ivy Street   Glendale CA 91204,818-649-2525,"9211 W NIGHTINGALE DR
HOLLYWOOD, CA 90069
(34.103836, -118.388967)",24034
4019006027,1/11/2018,Single Family,4235 W 59TH ST,LOS ANGELES,CA,90043,8,DITECH FINANCIAL LLC,Property Pres Department,855-577-1602,MCS/687,MCS Advantage Conveyance,1906   Irvine AVE  Newport Beach CA 92660,949-642-4801,"4235 W 59TH ST
LOS ANGELES, CA 90043
(33.98709, -118.348847)",23674
4125013135,1/15/2018,Single Family,8620 S BELFORD AVE A-F,LOS ANGELES,CA,90045,11,SELENE FINANCE LP,CUSTOMER SERVICE,877-735-3637,EDWARD ZUBIA,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,818-406-3611,"8620 S BELFORD AVE A-F
LOS ANGELES, CA 90045
(33.95953, -118.383948)",23676
6050006023,12/7/2018,Single Family,831 E 94TH ST,LOS ANGELES,CA,90002,9,CENLAR MORTGAGE FSB,PATRICIA BRACEY,609-883-3900,SAFEGUARD PROPERTIES,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-383-2097,"831 E 94TH ST
LOS ANGELES, CA 90002
(33.951132, -118.259707)",22351
2504001025,1/9/2018,Single Family,13375 N PHILLIPPI AVE,LOS ANGELES,CA,91342,7,Wells Fargo Bank N.A.,Jenna Douglas,877-617-5274,MCS,Code Compliance,350   Highland DR 100 Lewisville TX 75067,813-387-1100,"13375 N PHILLIPPI AVE
LOS ANGELES, CA 91342
(34.315109, -118.449756)",18912
6119012061,6/15/2018,Single Family,14703 S DENVER AVE,LOS ANGELES,CA,90248,15,Wells Fargo Bank N.A C/O Select Portfolio Servicing,NA NA,888-349-8964,Safeguard Properties,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-387-2097,"14703 S DENVER AVE
LOS ANGELES, CA 90248
(33.898751, -118.284438)",24685
5671011011,11/29/2018,Single Family,5243 N NORTH MAYWOOD AVE,LOS ANGELES,CA,90041,14,Mr. Cooper,Paula Acosta,800-468-1743,B2,Brian Bennis,3430   Mt Vernon AVE  Riverside CA 92507,224-518-7504,"5243 N NORTH MAYWOOD AVE
LOS ANGELES, CA 90041
(34.141743, -118.211699)",23672
2747014147,11/13/2018,Single Family,10000 N OWENSMOUTH AVE,LOS ANGELES,CA,91311,12,Mr. Cooper,Paula Acosta,800-468-1743,B2,Brian Bennis,3430   Mt Vernon AVE  Riverside CA 92507,224-518-7504,"10000 N OWENSMOUTH AVE
LOS ANGELES, CA 91311
(34.252303, -118.601664)",4284
4236005001,11/13/2018,Multi-Family,2415 S GLYNDON AVE,VENICE,CA,90291,11,"Easy Realty and Loans Inc, a California corporation, Beneficiary",Matthew Matoesian,323-319-2583,"Easy Realty and Loans, Inc. a California corporation, Beneficiary",Matthew Matoesian,6125   Washington BLVD 300 Culver city CA 90232,323-319-2583,"2415 S GLYNDON AVE
VENICE, CA 90291
(33.99528, -118.448793)",25073
2076012046,7/6/2018,Single Family,4510 N STARK AVE,LOS ANGELES,CA,91364,3,"U.S. Bank N.A., c/o Select Portfolio Servicing",NA NA,888-349-8964,Edward Zubia,Edward Zubia,3540   wilshire BLVD  Los Angeles CA 90010,213-383-2097,"4510 N STARK AVE
LOS ANGELES, CA 91364
(34.15199, -118.623749)",19346
5558021017,11/29/2018,Single Family,1713 N QUEENS CT,LOS ANGELES,CA,90069,4,Mr. Cooper,Paula Acosta,800-468-1743,"AFS c/o NEW BEGINNING PROPERTIES, INC",Chavez Lourdes,999  W Marshall BLVD  San Bernardino CA 92405,800-468-1743,"1713 N QUEENS CT
LOS ANGELES, CA 90069
(34.101299, -118.3778)",24034
2601028035,9/24/2018,Single Family,12006 N HIGHWATER ROAD,LOS ANGELES,CA,91344,12,"Wilmington Trust, NA, successor trustee to Citibank, c/o Select Portfolio Servicing",NA NA,888-349-8964,Safeguard Properties,Ed Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-383-2097,"12006 N HIGHWATER ROAD
LOS ANGELES, CA 91344
(34.289339, -118.519211)",19329
2038027030,11/6/2018,Single Family,6701 N SALE AVE,LOS ANGELES,CA,91307,12,BANK OF AMERICA,VPR DEPARTMENT,213-345-6264,EDWARD ZUBIA,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,818-406-3611,"6701 N SALE AVE
LOS ANGELES, CA 91307
(34.192505, -118.618545)",4283
2701068047,11/29/2018,Single Family,11407 N SANTINI LANE,LOS ANGELES,CA,91326,12,Mr. Cooper,Paula Acosta,800-468-1743,Remedy Field Services,Brandon Cole,15615   Alton PKWY 450 Irvine CA 92618,800-468-1743,"11407 N SANTINI LANE
LOS ANGELES, CA 91326
(34.278566, -118.587486)",18905
6023012011,7/11/2018,Single Family,1000 E 74TH ST,LOS ANGELES,CA,90001,9,U.S. Bank N.A. C/O Select Portfolio Servicing,NA NA,888-349-8964,Edward Zubia,Edward Zubia,3540   wilshire BLVD  Los Angeles CA 90010,213-383-2097,"1000 E 74TH ST
LOS ANGELES, CA 90001
(33.973003, -118.257629)",22350
7562015008,1/1/2018,Single Family,1642 W 22ND ST,SAN PEDRO,CA,90732,15,Bank of New York Mellon C/O Select Portfolio Servicing,NA NA,888-349-8964,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,"1642 W 22ND ST
SAN PEDRO, CA 90732
(33.725276, -118.312858)",3343
2647028096,1/1/2018,Single Family,14333 W VAN NUYS BLVD,LOS ANGELES,CA,91331,6,Deutsche Bank C/O Select Portfolio Servicing,NA NA,888-349-8964,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,"14333 W VAN NUYS BLVD
LOS ANGELES, CA 91331
(34.248674, -118.445968)",18907
2423030052,10/25/2018,Single Family,10650 W CHIQUITA ST,LOS ANGELES,CA,91602,2,Kenny Lim,Kenny Lim,818-913-2577,Safeguard,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,"10650 W CHIQUITA ST
LOS ANGELES, CA 91602
(34.14412, -118.364003)",8489
2510020035,6/2/2018,Single Family,13463 W HUBBARD ST,LOS ANGELES,CA,91342,7,Bayview,Eric Moore,877-338-3791,Safeguard c/o Bron Inc Jefferson,Code Compliance,27720   Jefferson AVE 210 Temecula CA 92590,800-852-8306,"13463 W HUBBARD ST
LOS ANGELES, CA 91342
(34.310668, -118.426682)",18912
5442019030,1/5/2018,Single Family,2758 N DENBY AVE,LOS ANGELES,CA,90039,13,Wells Fargo Bank N.A.,Jenna Douglas,877-617-5274,Coldwell Banker Coastal Alliance,Eddy Leon,1650   Ximeno AVE 120 Long Beach CA 90804,562-961-2205,"2758 N DENBY AVE
LOS ANGELES, CA 90039
(34.102177, -118.24593)",23670
