APN,Registered Date,Property Type,Property Address,Property City,Property State,Property Zip,Council District,Lender,Lender Contact,Lender Contact Phone,Property Management,Property Management Contact,Property Management Address,Property Management Contact Phone,Longitude,Latitude,Property on Map,Zip Codes
2126038013,1/2/2019,Multi-Family,18553 W LEMAY ST,LOS ANGELES,CA,91335,3,NORTH SHORE CAPITAL INC,MASSOUD SHARIFI,818-245-1911,NULL,NULL,,NULL,-118.53796,34.19107,POINT (-118.53796 34.19107),18909
2378025032,1/10/2019,Vacant Residential,3801 N BERRY DR,LOS ANGELES,CA,91604,2,"Kodiak Capital Management, LLC",Andrey Kalashnikov,323-527-5137,NULL,NULL,,NULL,-118.37945,34.13709,POINT (-118.37945 34.13709),8492
2510022010,2/14/2019,Single Family,13420 N WHEELER AVE,LOS ANGELES,CA,91342,7,Celink,Cory Daggett,866-654-0020,J & J Board Ups,Javier Ortiz,475  S Rall AVE  Bassett CA 91746,626-290-9017,-118.43158,34.31549,POINT (-118.43158 34.31549),18912
2378025027,1/10/2019,Single Family,3779 N BERRY DR,LOS ANGELES,CA,91604,2,"Kodiak Capital Management, LLC",Andrey Kalashnikov,323-527-5137,NULL,NULL,,NULL,-118.37958,34.13759,POINT (-118.37958 34.13759),8492
2034001021,1/21/2019,Single Family,23727 W WELBY WAY,LOS ANGELES,CA,91307,12,Rushmore Loan Management Services,Enrique Orozco,949-341-5675,NULL,NULL,,NULL,-118.64365,34.19253,POINT (-118.64365000000001 34.19253),4283
5534011013,1/15/2019,Multi-Family,1200 N GORDON ST,HOLLYWOOD,CA,90038,13,"Arch CBT SPE, LLC",Daniel Bien,949-891-0274,NULL,NULL,,NULL,-118.31997,34.09274,POINT (-118.31997 34.09274),23669
5078022023,3/21/2019,Single Family,1130 S FEDORA ST,LOS ANGELES,CA,90006,1,The Argus Group,Jennifer Bercy,818-999-3300,Law Office of Les Zieve,Dawn Talavera,30   Corporate PARK 450 IRVINE CA 92606,714-580-8567,-118.29775,34.04993,POINT (-118.29775000000001 34.04993),22723
5544003041,1/23/2019,Multi-Family,1840 N GRAMERCY PL,HOLLYWOOD,CA,90028,13,Malaga Bank,Nina Brister,310-544-7800,NULL,NULL,,NULL,-118.31211,34.10463,POINT (-118.31211000000002 34.10463),23446
5419030004,1/28/2019,Multi-Family,1332 N LEMOYNE ST,LOS ANGELES,CA,90026,13,"PEAK FORECLOSURE SERVICES, INC.",Kelli Espinoza,818-591-9237,NULL,NULL,,NULL,-118.25868,34.07842,POINT (-118.25868 34.07842),23444
5213032097,1/9/2019,Single Family,4760 E TEMPLETON ST,LOS ANGELES,CA,90032,14,Law Offices of Pamela Abbott Moore,Pamela Moore,714-288-0180,NULL,NULL,,NULL,-118.18159,34.08211,POINT (-118.18159 34.08211),23449
5073002013,1/3/2019,Multi-Family,1406 S VAN NESS AVE,LOS ANGELES,CA,90019,10,SUPERIOR LOAN SERVICING,BARRY HARARI,818-876-0037,NULL,NULL,,NULL,-118.31556,34.04598,POINT (-118.31555999999999 34.04598),23080
6020022023,3/4/2019,Single Family,737 W 76TH ST,LOS ANGELES,CA,90044,8,bayview,Willie Walton,714-848-7920,Safeguard,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,-118.28676,33.97085,POINT (-118.28676000000002 33.97085),23675
6075014001,2/28/2019,Single Family,11210 S HOOVER ST,LOS ANGELES,CA,90044,8,Equity Investments Group,sara landucci,714-841-5511,NULL,NULL,,NULL,-118.28679,33.93246,POINT (-118.28679 33.93246),23675
6030003008,1/9/2019,Multi-Family,117 E 81ST ST,LOS ANGELES,CA,90003,9,JP Morgan Chase NA,Amy Lott,888-310-1506,MCS/687,MCS Advantage Conveyance,1906   Irvine AVE  Newport Beach CA 92660,949-642-4801,-118.27319,33.9663,POINT (-118.27318999999999 33.9663),22352
6023022004,3/6/2019,Multi-Family,810 1/2 E 76TH PL,LOS ANGELES,CA,90001,9,SUPERIOR LOAN SERVICING,BARRY HARARI,818-876-0037,NULL,NULL,,NULL,-118.26037,33.97016,POINT (-118.26036999999998 33.97016),22350
2620016027,2/15/2019,Single Family,13403 W PIERCE ST,LOS ANGELES,CA,91331,7,CALIBER HOME LOANS,CHRISTINE CAYANAN,874-214-4174,Coldwell Banker Coastal Alliance,Eddy Leon,1650   Ximeno AVE 120 Long Beach CA 90804,562-961-2205,-118.42517,34.2588,POINT (-118.42517 34.2588),18907
2169005016,1/8/2019,Single Family,5142 N TOPANGA CANYON BLVD,LOS ANGELES,CA,91364,3,"Ocwen Loan Servicing, LLC",Judy Credit,800-746-2936,Property Preservation Servicing LLC,Trevethan Aaron,5   Columbia   ALISO VIEJO CA 92656,949-625-4480,-118.6056,34.16303,POINT (-118.60560000000001 34.16303),19346
